fact_x,question,accuracy
P103,Is [X] [W]'s native language? I am pretty sure the answer is: [Y],0.48822927328556803
P108,Is [W] employed by [X]? I am pretty sure the answer is: [Y],0.48955613577023493
P19,Was [X] [W]'s place of birth? I am pretty sure the answer is: [Y],0.5116525423728813
P20,Was [X] [W]'s place of death? I am pretty sure the answer is: [Y],0.5288562434417627
P279,Is [X] the class of [W]? I am pretty sure the answer is: [Y],0.5269709543568464
P30,Is [X] the continent of [W]? I am pretty sure the answer is: [Y],0.5615384615384614
P364,Was [X] the original language of [W]? I am pretty sure the answer is: [Y],0.5040887850467289
P39,Was [W]'s role that of [X]? I am pretty sure the answer is: [Y],0.5050448430493273
P495,Was [W] from [X]? I am pretty sure the answer is: [Y],0.5269526952695269
P740,Was [W] started in [X]? I am pretty sure the answer is: [Y],0.5096153846153845
P937,Was [X] [W]'s work location? I am pretty sure the answer is: [Y],0.5262054507337526
